Iteration,Best_Fitness_MAPE
1,40.4463818398364
2,40.16456390735232
3,40.12788528305326
4,40.09270462296887
5,40.09270462296887
6,40.09270462296887
7,40.09270462296887
8,40.09270462296887
9,40.09270462296887
10,40.09270462296887
11,40.09257326965111
12,40.09257326965111
13,40.09249227897784
14,40.09249227897784
15,40.09249227897784
16,40.09249227897784
17,40.09249227897784
18,40.09249227897784
19,40.09249227897784
20,40.09249227897784
21,40.09249227897784
22,40.09249227897784
23,40.09249227897784
24,40.0924917868327
25,40.0924917868327
26,40.0924917868327
27,40.0924917868327
28,40.0924917868327
29,40.0924917868327
30,40.092457016231165
31,40.092457016231165
32,40.092457016231165
33,40.092413898714966
34,40.092413898714966
35,40.092413898714966
36,40.092413898714966
37,40.092410224912406
38,40.092410224912406
39,40.092410224912406
40,40.092410224912406
41,40.092410224912406
42,40.092410224912406
43,40.092410224912406
44,40.092410224912406
45,40.092410224912406
46,40.092410224912406
47,40.092410224912406
48,40.092410224912406
49,40.092410224912406
50,40.092410224912406
51,40.092410224912406
52,40.092410224912406
53,40.092410224912406
54,40.092410224912406
55,40.092410224912406
56,40.092410224912406
57,40.092410224912406
58,40.092402301874145
59,40.092402301874145
60,40.092402301874145
61,40.092402301874145
62,40.092402301874145
63,40.092402301874145
64,40.092402301874145
65,40.092402301874145
66,40.092402301874145
67,40.092402301874145
68,40.092402301874145
69,40.092402301874145
70,40.092402301874145
71,40.092402301874145
72,40.092402301874145
73,40.092402301874145
74,40.092402301874145
75,40.092402301874145
76,40.092402301874145
77,40.092402301874145
78,40.092402301874145
79,40.092402301874145
80,40.092402301874145
81,40.092402301874145
82,40.092402301874145
83,40.092402301874145
84,40.092402301874145
85,40.092402301874145
86,40.092402301874145
87,40.092402301874145
88,40.092402301874145
89,40.092402301874145
90,40.092402301874145
91,40.092402301874145
92,40.09240123010984
93,40.09240123010984
94,40.09240123010984
95,40.09240123010984
96,40.09240123010984
97,40.09240123010984
98,40.09240070885103
99,40.09240070885103
100,40.09240070885103
