Run,n (wolf),iteration,MAPE,w1,w2,w3
1,20,100,40.09240147436396,0.3157332061583136,2.7379487791263885e-07,0.6842665200468085
2,20,100,40.09240497453546,0.3156987286270467,0.0,0.6843012713729534
3,20,100,40.09241737737193,0.31572998321121165,6.705713740928577e-06,0.6842633110750473
4,20,100,40.092400755220396,0.31573274789812444,0.0,0.6842672521018756
5,20,100,40.09240279808062,0.31576158562507106,0.0,0.6842384143749289
6,20,100,40.092401072659186,0.3157372289747407,0.0,0.6842627710252593
7,20,100,40.09240116940802,0.3157385947149207,0.0,0.6842614052850793
8,20,100,40.092404911401886,0.3157473704350374,1.2441427086427015e-06,0.6842513854222539
9,20,100,40.09240277391686,0.3157612445207544,0.0,0.6842387554792456
10,20,100,40.092402509299,0.31575750908282396,0.0,0.684242490917176
11,20,100,40.09241735638594,0.31577059408140307,5.5502745072180635e-06,0.6842238556440897
12,20,100,40.09240183131168,0.3157479383777892,0.0,0.6842520616222107
13,20,100,40.09240081163937,0.3157335443280138,0.0,0.6842664556719862
14,20,100,40.092406626054796,0.3157462965266432,1.9581462225730755e-06,0.6842517453271342
15,20,100,40.092403520403586,0.3157095339084694,0.0,0.6842904660915307
16,20,100,40.09240474366618,0.31570044415755033,0.0,0.6842995558424497
17,20,100,40.092402958394054,0.31576384866519874,0.0,0.6842361513348012
18,20,100,40.09240110612859,0.3157274737672744,0.0,0.6842725262327256
19,20,100,40.09240074994433,0.3157301204813387,0.0,0.6842698795186614
20,20,100,40.09241801728681,0.3157133524941935,6.459149705125619e-06,0.6842801883561014
21,20,100,40.09240211652017,0.31571996580639744,0.0,0.6842800341936026
22,20,100,40.09240279230277,0.31571528811076294,1.9912987348816327e-08,0.6842846919762496
23,20,100,40.09240079186747,0.31573326522105444,0.0,0.6842667347789455
24,20,100,40.09240166399609,0.31572332839689776,0.0,0.6842766716031023
25,20,100,40.09240185355985,0.3157219197971608,0.0,0.6842780802028393
26,20,100,40.09240593459068,0.31569159470265656,0.0,0.6843084052973435
27,20,100,40.09240070885103,0.31573209333198043,0.0,0.6842679066680195
28,20,100,40.092440864354124,0.31571863764753244,1.6390959739946252e-05,0.6842649713927277
29,20,100,40.09240172689964,0.31574646446076726,0.0,0.6842535355392327
30,20,100,40.092406450523434,0.3157516916539735,1.735770223402673e-06,0.6842465725758031
