Iteration,Best_Fitness_MAPE
1,34.1487542118783
2,33.846886472274804
3,33.626938497778966
4,33.626938497778966
5,33.62163331003605
6,33.621068432807164
7,33.61955290146979
8,33.61955290146979
9,33.619479522605225
10,33.619479522605225
11,33.619479522605225
12,33.619397309874685
13,33.619397309874685
14,33.61937731591455
15,33.61937731591455
16,33.61937731591455
17,33.61937731591455
18,33.619371942756224
19,33.619371942756224
20,33.619371942756224
21,33.619371942756224
22,33.619371942756224
23,33.61937174758931
24,33.61937174758931
25,33.61937174758931
26,33.61936967758918
27,33.61936967758918
28,33.61936967758918
29,33.61936967758918
30,33.61936927870674
31,33.61936927870674
32,33.61936927870674
33,33.619369265587096
34,33.61936887541018
35,33.61936887541018
36,33.619368670816776
37,33.619368670816776
38,33.619368670816776
39,33.619368670816776
40,33.619368670816776
41,33.619368670816776
42,33.619368670816776
43,33.619368670816776
44,33.6193686501804
45,33.6193686501804
46,33.6193686501804
47,33.6193686501804
48,33.61936862577489
49,33.61936862577489
50,33.61936862577489
51,33.619368620925336
52,33.619368620925336
53,33.619368620925336
54,33.619368620925336
55,33.619368620925336
56,33.61936861871085
57,33.61936861871085
58,33.61936861871085
59,33.61936861871085
60,33.61936861871085
61,33.61936861871085
62,33.61936861871085
63,33.619368618055255
64,33.619368618055255
65,33.61936861748887
66,33.61936861748887
67,33.61936861748887
68,33.61936861748887
69,33.61936861748887
70,33.61936861748887
71,33.61936861748887
72,33.61936861743984
73,33.61936861743523
74,33.61936861743523
75,33.619368617391046
76,33.619368617391046
77,33.61936861736432
78,33.61936861735837
79,33.61936861735837
80,33.61936861735837
81,33.619368617351086
82,33.619368617351086
83,33.619368617351086
84,33.619368617351086
85,33.619368617351086
86,33.619368617351086
87,33.619368617350965
88,33.61936861735083
89,33.61936861735083
90,33.6193686173501
91,33.6193686173501
92,33.6193686173501
93,33.6193686173501
94,33.61936861734981
95,33.61936861734981
96,33.619368617349785
97,33.619368617349785
98,33.619368617349785
99,33.619368617349785
100,33.619368617349785
