Iteration,Best_Fitness_MAPE
1,39.61827743736007
2,38.68266985780633
3,38.556568441673264
4,38.52179914338745
5,38.51268968417584
6,38.51258930613152
7,38.51258930613152
8,38.51258930613152
9,38.51232387620779
10,38.51232387620779
11,38.5117255891749
12,38.5117255891749
13,38.5117255891749
14,38.511630458585664
15,38.511630458585664
16,38.511630458585664
17,38.511630458585664
18,38.511630458585664
19,38.511630458585664
20,38.511630458585664
21,38.511630458585664
22,38.511608349525936
23,38.511608349525936
24,38.511608349525936
25,38.511608349525936
26,38.511608349525936
27,38.511608349525936
28,38.511608349525936
29,38.511608349525936
30,38.511608349525936
31,38.5116026732743
32,38.5116026732743
33,38.51156922038475
34,38.51156922038475
35,38.51156922038475
36,38.51156922038475
37,38.51156922038475
38,38.51156922038475
39,38.51156922038475
40,38.51156922038475
41,38.51156922038475
42,38.51152615828964
43,38.51152615828964
44,38.51152615828964
45,38.51152615828964
46,38.51152615828964
47,38.51152615828964
48,38.51152615828964
49,38.51152615828964
50,38.51152615828964
51,38.51152615828964
52,38.51152615828964
53,38.51152615828964
54,38.51152615828964
55,38.51152615828964
56,38.51152615828964
57,38.51152615828964
58,38.51152615828964
59,38.51152615828964
60,38.51152615828964
61,38.51152615828964
62,38.51152615828964
63,38.51152615828964
64,38.51152615828964
65,38.51152615828964
66,38.51151402065293
67,38.51151402065293
68,38.51151402065293
69,38.51151402065293
70,38.51151402065293
71,38.51151402065293
72,38.51151402065293
73,38.51151402065293
74,38.51151402065293
75,38.51151402065293
76,38.51151402065293
77,38.51151402065293
78,38.51151402065293
79,38.51151402065293
80,38.51148769278266
81,38.51148769278266
82,38.51148769278266
83,38.51148769278266
84,38.51148769278266
85,38.51148769278266
86,38.51148769278266
87,38.51148769278266
88,38.51148769278266
89,38.51148769278266
90,38.51148769278266
91,38.51147468401631
92,38.51147468401631
93,38.51147468401631
94,38.51147468401631
95,38.51147468401631
96,38.51147468401631
97,38.51147468401631
98,38.51147468401631
99,38.511472117492886
100,38.511472117492886
