Run,n (wolf),iteration,MAPE,w1,w2,w3
1,20,100,41.49307705597533,0.53685057421848,3.532774710010329e-05,0.46311409803441994
2,20,100,41.493082857694304,0.5368051641453756,5.4755667344614065e-05,0.46314008018727987
3,20,100,41.49312731312102,0.536720765250591,0.00022123668025625064,0.46305799806915277
4,20,100,41.49307423363039,0.53691342039718,2.4520669475199696e-05,0.4630620589333448
5,20,100,41.49306722242539,0.5369228977953929,1.7095416708832096e-06,0.4630753926629363
6,20,100,41.493067722670105,0.5368805353428819,1.1936922242249034e-06,0.46311827096489394
7,20,100,41.49306837428627,0.5368249289964329,0.0,0.4631750710035672
8,20,100,41.493073026616216,0.5368437072525469,1.9267942549788863e-05,0.4631370248049032
9,20,100,41.49306751235301,0.5368748590944893,0.0,0.46312514090551077
10,20,100,41.49306679200228,0.5369165875947022,0.0,0.4630834124052979
11,20,100,41.4930692958535,0.5367715444197101,0.0,0.4632284555802899
12,20,100,41.493070014059654,0.536845842041932,7.746642125980919e-06,0.46314641131594214
13,20,100,41.49306691032435,0.5369097334305278,0.0,0.4630902665694722
14,20,100,41.49306697611122,0.5369059225261609,0.0,0.4630940774738391
15,20,100,41.49306668964002,0.536922517239047,0.0,0.463077482760953
16,20,100,41.4930721251126,0.5369097127817989,2.0189182958429273e-05,0.4630700980352428
17,20,100,41.49306862125521,0.5369091767287982,6.58715559111069e-06,0.46308423611561067
18,20,100,41.49306676117334,0.5369183734545308,0.0,0.4630816265454693
19,20,100,41.49306684359617,0.5369135988619247,0.0,0.46308640113807537
20,20,100,41.49306696547157,0.5369065388600062,0.0,0.46309346113999383
21,20,100,41.4930689426958,0.536887934367861,6.411910558868681e-06,0.46310565372158025
22,20,100,41.49306831988737,0.5368325455041776,2.984505001219979e-07,0.46316715604532227
23,20,100,41.49306670795468,0.5369214563064563,0.0,0.46307854369354373
24,20,100,41.49306668807527,0.5369226078825572,0.0,0.46307739211744287
25,20,100,41.493066818498995,0.5369150526923747,0.0,0.4630849473076254
26,20,100,41.493066839999706,0.5369245956208728,0.0,0.4630754043791272
27,20,100,41.493067276589024,0.5368885164381875,0.0,0.4631114835618126
28,20,100,41.49307356279557,0.53681891660761,1.968696086669889e-05,0.4631613964315233
29,20,100,41.49307223901024,0.5368578780282582,1.7165643145316642e-05,0.4631249563285964
30,20,100,41.49306747305591,0.5368771354978726,0.0,0.4631228645021273
